Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2024/01/02;1,222.50;1,195.20;27.30;2.28%;-3.70;2.28
2024/01/03;1,228.70;1,222.50;6.20;0.51%;-4.88;2.80
2024/01/04;1,267.18;1,228.70;38.48;3.13%;-3.90;6.02
2024/01/05;1,294.78;1,267.18;27.60;2.18%;-2.40;8.33
2024/01/09;1,294.43;1,294.78;-0.35;-0.03%;-3.01;8.30
2024/01/10;1,288.77;1,294.43;-5.66;-0.44%;-4.03;7.82
2024/01/11;1,283.25;1,288.77;-5.52;-0.43%;-3.99;7.36
2024/01/12;1,290.92;1,283.25;7.67;0.60%;-3.47;8.00
2024/01/15;1,297.33;1,290.92;6.41;0.50%;-2.83;8.54
2024/01/16;1,292.93;1,297.33;-4.40;-0.34%;-3.06;8.17
2024/01/17;1,283.84;1,292.93;-9.09;-0.70%;-4.03;7.41
2024/01/18;1,276.13;1,283.84;-7.71;-0.60%;-4.23;6.77
2024/01/19;1,274.50;1,276.13;-1.63;-0.13%;-4.70;6.63
2024/01/22;1,271.10;1,274.50;-3.40;-0.27%;-4.55;6.35
2024/01/23;1,263.15;1,271.10;-7.95;-0.63%;-3.61;5.68
2024/01/24;1,261.11;1,263.15;-2.04;-0.16%;-3.08;5.51
2024/01/25;1,268.91;1,261.11;7.80;0.62%;-2.53;6.16
2024/01/26;1,282.43;1,268.91;13.52;1.07%;-0.26;7.29
2024/01/29;1,279.81;1,282.43;-2.62;-0.20%;-0.03;7.07
2024/01/30;1,280.17;1,279.81;0.36;0.03%;-0.77;7.10
2024/01/31;1,276.55;1,280.17;-3.62;-0.28%;0.63;6.80
2024/02/01;1,277.65;1,276.55;1.10;0.09%;1.39;6.89
2024/02/02;1,277.77;1,277.65;0.12;0.01%;1.14;6.90
2024/02/05;1,272.44;1,277.77;-5.33;-0.42%;0.31;6.46
2024/02/06;1,276.77;1,272.44;4.33;0.34%;0.52;6.82
2024/02/07;1,279.26;1,276.77;2.49;0.20%;1.19;7.03
2024/02/08;1,261.10;1,279.26;-18.16;-1.42%;1.24;5.51
2024/02/09;1,248.23;1,261.10;-12.87;-1.02%;0.20;4.43
2024/02/12;1,248.18;1,248.23;-0.05;0.00%;0.64;4.43
2024/02/13;1,235.86;1,248.18;-12.32;-0.99%;1.07;3.40
2024/02/14;1,237.18;1,235.86;1.32;0.11%;1.45;3.51
2024/02/15;1,246.31;1,237.18;9.13;0.74%;1.62;4.27
2024/02/16;1,256.97;1,246.31;10.66;0.86%;3.89;5.16
2024/02/19;1,220.31;1,256.97;-36.66;-2.92%;0.77;2.10
2024/02/20;1,245.54;1,220.31;25.23;2.07%;3.95;4.21
2024/02/21;1,268.74;1,245.54;23.20;1.86%;6.83;6.15
2024/02/22;1,279.09;1,268.74;10.35;0.82%;7.28;7.01
2024/02/23;1,290.31;1,279.09;11.22;0.88%;8.10;7.95
2024/02/26;1,291.39;1,290.31;1.08;0.08%;7.06;8.04
2024/02/27;1,286.55;1,291.39;-4.84;-0.37%;8.33;7.64
2024/02/28;1,285.47;1,286.55;-1.08;-0.08%;7.22;7.55
2024/02/29;1,274.08;1,285.47;-11.39;-0.89%;7.14;6.59
2024/03/01;1,286.46;1,274.08;12.38;0.97%;5.92;7.63
2024/03/04;1,288.59;1,286.46;2.13;0.17%;4.28;7.81
2024/03/05;1,300.86;1,288.59;12.27;0.95%;5.18;8.84
2024/03/06;1,307.11;1,300.86;6.25;0.48%;5.28;9.36
2024/03/07;1,313.51;1,307.11;6.40;0.49%;8.49;9.89
2024/03/08;1,298.97;1,313.51;-14.54;-1.11%;9.40;8.68
2024/03/11;1,298.29;1,298.97;-0.68;-0.05%;12.49;8.62
2024/03/12;1,278.65;1,298.29;-19.64;-1.51%;10.59;6.98
2024/03/13;1,284.15;1,278.65;5.50;0.43%;15.50;7.44
2024/03/14;1,283.19;1,284.15;-0.96;-0.07%;14.73;7.36
2024/03/15;1,285.10;1,283.19;1.91;0.15%;15.73;7.52
2024/03/18;1,307.14;1,285.10;22.04;1.72%;15.71;9.36
2024/03/19;1,306.76;1,307.14;-0.38;-0.03%;15.68;9.33
2024/03/20;1,308.77;1,306.76;2.01;0.15%;16.72;9.50
2024/03/21;1,321.60;1,308.77;12.83;0.98%;20.48;10.57
2024/03/22;1,329.48;1,321.60;7.88;0.60%;20.18;11.23
2024/03/26;1,318.11;1,329.48;-11.37;-0.86%;17.96;10.28
2024/03/27;1,332.98;1,318.11;14.87;1.13%;19.05;11.52
2024/04/01;1,355.14;1,332.98;22.16;1.66%;14.53;13.38
2024/04/02;1,372.71;1,355.14;17.57;1.30%;16.47;14.85
2024/04/03;1,383.91;1,372.71;11.20;0.82%;15.94;15.78
2024/04/04;1,407.95;1,383.91;24.04;1.74%;17.29;17.80
2024/04/05;1,388.27;1,407.95;-19.68;-1.40%;15.65;16.15
2024/04/08;1,386.80;1,388.27;-1.47;-0.11%;15.53;16.03
2024/04/09;1,408.58;1,386.80;21.78;1.57%;15.32;17.85
2024/04/10;1,398.05;1,408.58;-10.53;-0.75%;13.45;16.97
2024/04/11;1,415.24;1,398.05;17.19;1.23%;14.10;18.41
2024/04/12;1,390.74;1,415.24;-24.50;-1.73%;10.96;16.36
2024/04/15;1,380.21;1,390.74;-10.53;-0.76%;9.78;15.47
2024/04/16;1,368.26;1,380.21;-11.95;-0.87%;9.01;14.47
2024/04/17;1,350.12;1,368.26;-18.14;-1.33%;8.18;12.96
2024/04/18;1,321.06;1,350.12;-29.06;-2.15%;6.12;10.53
2024/04/19;1,332.13;1,321.06;11.07;0.84%;9.55;11.45
