Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
15/06/2023;1,178.54;1,178.28;0.26;0.02%;-20;-8.36
16/06/2023;1,173.90;1,178.54;-4.64;-0.39%;-19.26;-8.72
20/06/2023;1,161.07;1,173.90;-12.83;-1.09%;-16.97;-9.71
21/06/2023;1,151.83;1,161.07;-9.24;-0.80%;-16.05;-10.43
22/06/2023;1,141.67;1,151.83;-10.16;-0.88%;-14.72;-11.22
23/06/2023;1,133.54;1,141.67;-8.13;-0.71%;-17.01;-11.86
26/06/2023;1,138.45;1,133.54;4.91;0.43%;-16.92;-11.47
27/06/2023;1,129.51;1,138.45;-8.94;-0.79%;-17.57;-12.17
28/06/2023;1,127.37;1,129.51;-2.14;-0.19%;-16.29;-12.33
29/06/2023;1,130.93;1,127.37;3.56;0.32%;-14.51;-12.06
30/06/2023;1,133.60;1,130.93;2.67;0.24%;-16.52;-11.85
04/07/2023;1,134.27;1,133.60;0.67;0.06%;-14.95;-11.8
05/07/2023;1,121.71;1,134.27;-12.56;-1.11%;-16.07;-12.78
06/07/2023;1,115.02;1,121.71;-6.69;-0.60%;-17.42;-13.3
07/07/2023;1,133.11;1,115.02;18.09;1.62%;-16.37;-11.89
10/07/2023;1,130.84;1,133.11;-2.27;-0.20%;-15.9;-12.07
11/07/2023;1,147.86;1,130.84;17.02;1.51%;-14.83;-10.74
12/07/2023;1,162.39;1,147.86;14.53;1.27%;-11.89;-9.61
13/07/2023;1,173.36;1,162.39;10.97;0.94%;-7.79;-8.76
14/07/2023;1,164.20;1,173.36;-9.16;-0.78%;-8.63;-9.47
17/07/2023;1,160.14;1,164.20;-4.06;-0.35%;-9.48;-9.79
18/07/2023;1,169.79;1,160.14;9.65;0.83%;-10.22;-9.04
19/07/2023;1,173.75;1,169.79;3.96;0.34%;-9.12;-8.73
21/07/2023;1,172.85;1,173.75;-0.9;-0.08%;-6.9;-8.8
24/07/2023;1,172.41;1,172.85;-0.44;-0.04%;-9.1;-8.83
25/07/2023;1,171.24;1,172.41;-1.17;-0.10%;-9.54;-8.92
26/07/2023;1,164.32;1,171.24;-6.92;-0.59%;-10.44;-9.46
27/07/2023;1,166.84;1,164.32;2.52;0.22%;-11.61;-9.27
28/07/2023;1,161.83;1,166.84;-5.01;-0.43%;-10.34;-9.66
31/07/2023;1,174.70;1,161.83;12.87;1.10%;-7.65;-8.65
01/08/2023;1,178.85;1,174.70;4.15;0.35%;-7.99;-8.33
02/08/2023;1,160.90;1,178.85;-17.95;-1.52%;-9.24;-9.73
03/08/2023;1,173.89;1,160.90;12.99;1.12%;-8.39;-8.72
04/08/2023;1,170.23;1,173.89;-3.66;-0.31%;-9.98;-9
08/08/2023;1,173.40;1,170.23;3.17;0.27%;-11.24;-8.76
09/08/2023;1,166.07;1,173.40;-7.33;-0.62%;-11.26;-9.33
10/08/2023;1,152.82;1,166.07;-13.25;-1.14%;-12.96;-10.36
11/08/2023;1,147.50;1,152.82;-5.32;-0.46%;-13.77;-10.77
14/08/2023;1,145.53;1,147.50;-1.97;-0.17%;-13.3;-10.92
15/08/2023;1,130.14;1,145.53;-15.39;-1.34%;-14.47;-12.12
16/08/2023;1,143.55;1,130.14;13.41;1.19%;-13.57;-11.08
17/08/2023;1,134.99;1,143.55;-8.56;-0.75%;-14.28;-11.74
18/08/2023;1,132.66;1,134.99;-2.33;-0.21%;-13.39;-11.92
22/08/2023;1,115.74;1,132.66;-16.92;-1.49%;-13.47;-13.24
23/08/2023;1,099.55;1,115.74;-16.19;-1.45%;-14.89;-14.5
24/08/2023;1,101.11;1,099.55;1.56;0.14%;-15.58;-14.38
25/08/2023;1,101.64;1,101.11;0.53;0.05%;-15.18;-14.34
28/08/2023;1,104.31;1,101.64;2.67;0.24%;-14.38;-14.13
29/08/2023;1,111.25;1,104.31;6.94;0.63%;-12.51;-13.59
30/08/2023;1,114.86;1,111.25;3.61;0.32%;-9.23;-13.31
31/08/2023;1,076.12;1,114.86;-38.74;-3.47%;-12.08;-16.32
01/09/2023;1,084.71;1,076.12;8.59;0.80%;-12.02;-15.65
04/09/2023;1,077.55;1,084.71;-7.16;-0.66%;-12.87;-16.21
05/09/2023;1,051.18;1,077.55;-26.37;-2.45%;-14.33;-18.26
06/09/2023;1,046.70;1,051.18;-4.48;-0.43%;-13.51;-18.61
07/09/2023;1,063.29;1,046.70;16.59;1.58%;-11.61;-17.32
08/09/2023;1,069.14;1,063.29;5.85;0.55%;-12.54;-16.86
11/09/2023;1,062.97;1,069.14;-6.17;-0.58%;-13.96;-17.34
12/09/2023;1,083.70;1,062.97;20.73;1.95%;-11.75;-15.73
13/09/2023;1,077.85;1,083.70;-5.85;-0.54%;-11.56;-16.19
14/09/2023;1,082.66;1,077.85;4.81;0.45%;-10.79;-15.81
15/09/2023;1,098.66;1,082.66;16;1.48%;-9.17;-14.57
18/09/2023;1,100.01;1,098.66;1.35;0.12%;-8.74;-14.46
19/09/2023;1,104.73;1,100.01;4.72;0.43%;-7.54;-14.1
20/09/2023;1,108.88;1,104.73;4.15;0.38%;-7.41;-13.77
21/09/2023;1,095.53;1,108.88;-13.35;-1.20%;-8.82;-14.81
22/09/2023;1,090.53;1,095.53;-5;-0.46%;-5.76;-15.2
25/09/2023;1,100.33;1,090.53;9.8;0.90%;-1.12;-14.44
26/09/2023;1,089.57;1,100.33;-10.76;-0.98%;-3.04;-15.27
27/09/2023;1,107.59;1,089.57;18.02;1.65%;-2.01;-13.87
28/09/2023;1,117.73;1,107.59;10.14;0.92%;-1.58;-13.08
29/09/2023;1,121.64;1,117.73;3.91;0.35%;-0.58;-12.78
02/10/2023;1,112.80;1,121.64;-8.84;-0.79%;-3.79;-13.47
03/10/2023;1,102.46;1,112.80;-10.34;-0.93%;-7.93;-14.27
04/10/2023;1,097.31;1,102.46;-5.15;-0.47%;-9.71;-14.67
05/10/2023;1,092.40;1,097.31;-4.91;-0.45%;-10.32;-15.05
06/10/2023;1,101.97;1,092.40;9.57;0.88%;-8.86;-14.31
09/10/2023;1,118.25;1,101.97;16.28;1.48%;-6.72;-13.04
10/10/2023;1,114.76;1,118.25;-3.49;-0.31%;-5.6;-13.32
11/10/2023;1,114.20;1,114.76;-0.56;-0.05%;-5.3;-13.36
12/10/2023;1,112.09;1,114.20;-2.11;-0.19%;-5.56;-13.52
13/10/2023;1,116.29;1,112.09;4.2;0.38%;-4.45;-13.2
17/10/2023;1,119.19;1,116.29;2.9;0.26%;-5.85;-12.97
18/10/2023;1,134.48;1,119.19;15.29;1.37%;-5.25;-11.78
19/10/2023;1,125.60;1,134.48;-8.88;-0.78%;-7.93;-12.47
20/10/2023;1,117.42;1,125.60;-8.18;-0.73%;-9.27;-13.11
23/10/2023;1,108.63;1,117.42;-8.79;-0.79%;-7.28;-13.79
24/10/2023;1,105.76;1,108.63;-2.87;-0.26%;-8.54;-14.02
25/10/2023;1,104.19;1,105.76;-1.57;-0.14%;-8.13;-14.14
26/10/2023;1,083.95;1,104.19;-20.24;-1.83%;-10.54;-15.71
27/10/2023;1,093.84;1,083.95;9.89;0.91%;-10.31;-14.94
30/10/2023;1,088.69;1,093.84;-5.15;-0.47%;-11.59;-15.34
31/10/2023;1,088.15;1,088.69;-0.54;-0.05%;-13.25;-15.38
01/11/2023;1,088.39;1,088.15;0.24;0.02%;-12.58;-15.37
02/11/2023;1,097.53;1,088.39;9.14;0.84%;-9.7;-14.66
03/11/2023;1,098.75;1,097.53;1.22;0.11%;-11.69;-14.56
07/11/2023;1,093.71;1,098.75;-5.04;-0.46%;-12.68;-14.95
08/11/2023;1,098.62;1,093.71;4.91;0.45%;-12.07;-14.57
09/11/2023;1,104.44;1,098.62;5.82;0.53%;-13.59;-14.12
10/11/2023;1,102.93;1,104.44;-1.51;-0.14%;-12.91;-14.24
14/11/2023;1,107.45;1,102.93;4.52;0.41%;-13.83;-13.88
15/11/2023;1,110.09;1,107.45;2.64;0.24%;-13.2;-13.68
16/11/2023;1,108.56;1,110.09;-1.53;-0.14%;-14.45;-13.8
17/11/2023;1,125.22;1,108.56;16.66;1.50%;-12.27;-12.5
20/11/2023;1,125.16;1,125.22;-0.06;-0.01%;-8.63;-12.51
21/11/2023;1,128.61;1,125.16;3.45;0.31%;-10.12;-12.24
22/11/2023;1,131.96;1,128.61;3.35;0.30%;-10.58;-11.98
23/11/2023;1,127.81;1,131.96;-4.15;-0.37%;-11.05;-12.3
24/11/2023;1,135.46;1,127.81;7.65;0.68%;-10.32;-11.71
27/11/2023;1,127.74;1,135.46;-7.72;-0.68%;-9.12;-12.31
28/11/2023;1,127.81;1,127.74;0.07;0.01%;-9.65;-12.3
29/11/2023;1,138.69;1,127.81;10.88;0.96%;-8.36;-11.45
30/11/2023;1,146.87;1,138.69;8.18;0.72%;-7.16;-10.82
01/12/2023;1,151.79;1,146.87;4.92;0.43%;-7.18;-10.44
04/12/2023;1,156.33;1,151.79;4.54;0.39%;-5.03;-10.08
05/12/2023;1,150.10;1,156.33;-6.23;-0.54%;-6.99;-10.57
06/12/2023;1,134.17;1,150.10;-15.93;-1.39%;-7.76;-11.81
07/12/2023;1,145.28;1,134.17;11.11;0.98%;-7.35;-10.94
11/12/2023;1,141.41;1,145.28;-3.87;-0.34%;-7.1;-11.24
12/12/2023;1,149.28;1,141.41;7.87;0.69%;-6.53;-10.63
13/12/2023;1,165.85;1,149.28;16.57;1.44%;-5.24;-9.34
14/12/2023;1,174.70;1,165.85;8.85;0.76%;-3.9;-8.65
15/12/2023;1,162.58;1,174.70;-12.12;-1.03%;-4.04;-9.6
18/12/2023;1,163.33;1,162.58;0.75;0.06%;-4.28;-9.54
19/12/2023;1,169.27;1,163.33;5.94;0.51%;-4.75;-9.08
20/12/2023;1,162.66;1,169.27;-6.61;-0.57%;-6.97;-9.59
21/12/2023;1,166.07;1,162.66;3.41;0.29%;-5;-9.33
22/12/2023;1,170.34;1,166.07;4.27;0.37%;-6.57;-8.99
26/12/2023;1,183.84;1,170.34;13.5;1.15%;-6.08;-7.94
27/12/2023;1,188.17;1,183.84;4.33;0.37%;-6.18;-7.61
28/12/2023;1,195.20;1,188.17;7.03;0.59%;-7.06;-7.06
02/01/2024;1,222.50;1,195.20;27.3;2.28%;-3.7;2.28
03/01/2024;1,228.70;1,222.50;6.2;0.51%;-4.88;2.8
04/01/2024;1,267.18;1,228.70;38.48;3.13%;-3.9;6.02
05/01/2024;1,294.78;1,267.18;27.6;2.18%;-2.4;8.33
09/01/2024;1,294.43;1,294.78;-0.35;-0.03%;-3.01;8.3
10/01/2024;1,288.77;1,294.43;-5.66;-0.44%;-4.03;7.82
11/01/2024;1,283.25;1,288.77;-5.52;-0.43%;-3.99;7.36
12/01/2024;1,290.92;1,283.25;7.67;0.60%;-3.47;8
15/01/2024;1,297.33;1,290.92;6.41;0.50%;-2.83;8.54
16/01/2024;1,292.93;1,297.33;-4.4;-0.34%;-3.06;8.17
17/01/2024;1,283.84;1,292.93;-9.09;-0.70%;-4.03;7.41
18/01/2024;1,276.13;1,283.84;-7.71;-0.60%;-4.23;6.77
19/01/2024;1,274.50;1,276.13;-1.63;-0.13%;-4.7;6.63
22/01/2024;1,271.10;1,274.50;-3.4;-0.27%;-4.55;6.35
23/01/2024;1,263.15;1,271.10;-7.95;-0.63%;-3.61;5.68
24/01/2024;1,261.11;1,263.15;-2.04;-0.16%;-3.08;5.51
25/01/2024;1,268.91;1,261.11;7.8;0.62%;-2.53;6.16
26/01/2024;1,282.43;1,268.91;13.52;1.07%;-0.26;7.29
29/01/2024;1,279.81;1,282.43;-2.62;-0.20%;-0.03;7.07
30/01/2024;1,280.17;1,279.81;0.36;0.03%;-0.77;7.1
31/01/2024;1,276.55;1,280.17;-3.62;-0.28%;0.63;6.8
01/02/2024;1,277.65;1,276.55;1.1;0.09%;1.39;6.89
02/02/2024;1,277.77;1,277.65;0.12;0.01%;1.14;6.9
05/02/2024;1,272.44;1,277.77;-5.33;-0.42%;0.31;6.46
06/02/2024;1,276.77;1,272.44;4.33;0.34%;0.52;6.82
07/02/2024;1,279.26;1,276.77;2.49;0.20%;1.19;7.03
08/02/2024;1,261.10;1,279.26;-18.16;-1.42%;1.24;5.51
09/02/2024;1,248.23;1,261.10;-12.87;-1.02%;0.2;4.43
12/02/2024;1,248.18;1,248.23;-0.05;0.00%;0.64;4.43
13/02/2024;1,235.86;1,248.18;-12.32;-0.99%;1.07;3.4
14/02/2024;1,237.18;1,235.86;1.32;0.11%;1.45;3.51
