Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
15/06/2021;1,252.27;1,261.61;-9.34;-0.74%;8.45;-12.9
16/06/2021;1,250.78;1,252.27;-1.49;-0.12%;9.78;-13.01
17/06/2021;1,248.79;1,250.78;-1.99;-0.16%;9.63;-13.15
18/06/2021;1,257.29;1,248.79;8.5;0.68%;8.25;-12.56
21/06/2021;1,246.44;1,257.29;-10.85;-0.86%;9.02;-13.31
22/06/2021;1,242.70;1,246.44;-3.74;-0.30%;8.69;-13.57
23/06/2021;1,246.96;1,242.70;4.26;0.34%;10.79;-13.27
24/06/2021;1,278.81;1,246.96;31.85;2.55%;13.66;-11.06
25/06/2021;1,284.20;1,278.81;5.39;0.42%;15.62;-10.68
28/06/2021;1,270.88;1,284.20;-13.32;-1.04%;14.3;-11.61
29/06/2021;1,257.00;1,270.88;-13.88;-1.09%;13.05;-12.58
30/06/2021;1,248.83;1,257.00;-8.17;-0.65%;12.51;-13.14
01/07/2021;1,260.42;1,248.83;11.59;0.93%;12.64;-12.34
02/07/2021;1,289.38;1,260.42;28.96;2.30%;14.58;-10.32
06/07/2021;1,272.05;1,289.38;-17.33;-1.34%;12.38;-11.53
07/07/2021;1,286.43;1,272.05;14.38;1.13%;11.52;-10.53
08/07/2021;1,284.04;1,286.43;-2.39;-0.19%;12.32;-10.69
09/07/2021;1,293.02;1,284.04;8.98;0.70%;12.65;-10.07
12/07/2021;1,298.44;1,293.02;5.42;0.42%;13.38;-9.69
13/07/2021;1,293.76;1,298.44;-4.68;-0.36%;13.03;-10.02
14/07/2021;1,284.44;1,293.76;-9.32;-0.72%;12.19;-10.67
15/07/2021;1,273.21;1,284.44;-11.23;-0.87%;10.41;-11.45
16/07/2021;1,272.49;1,273.21;-0.72;-0.06%;10.06;-11.5
19/07/2021;1,238.12;1,272.49;-34.37;-2.70%;6.12;-13.89
21/07/2021;1,250.71;1,238.12;12.59;1.02%;7.03;-13.01
22/07/2021;1,251.87;1,250.71;1.16;0.09%;5.93;-12.93
23/07/2021;1,254.24;1,251.87;2.37;0.19%;6.84;-12.77
26/07/2021;1,256.31;1,254.24;2.07;0.17%;6.4;-12.62
27/07/2021;1,249.61;1,256.31;-6.7;-0.53%;6.71;-13.09
28/07/2021;1,243.13;1,249.61;-6.48;-0.52%;5.8;-13.54
29/07/2021;1,245.86;1,243.13;2.73;0.22%;6.97;-13.35
30/07/2021;1,236.73;1,245.86;-9.13;-0.73%;9.02;-13.98
02/08/2021;1,236.03;1,236.73;-0.7;-0.06%;9.08;-14.03
03/08/2021;1,235.53;1,236.03;-0.5;-0.04%;9.49;-14.07
04/08/2021;1,240.84;1,235.53;5.31;0.43%;9.03;-13.7
05/08/2021;1,227.35;1,240.84;-13.49;-1.09%;7.45;-14.64
06/08/2021;1,226.59;1,227.35;-0.76;-0.06%;7.26;-14.69
09/08/2021;1,229.44;1,226.59;2.85;0.23%;7.51;-14.49
10/08/2021;1,236.31;1,229.44;6.87;0.56%;8.98;-14.01
11/08/2021;1,246.69;1,236.31;10.38;0.84%;9.18;-13.29
12/08/2021;1,258.53;1,246.69;11.84;0.95%;9.44;-12.47
13/08/2021;1,268.79;1,258.53;10.26;0.82%;10.01;-11.76
17/08/2021;1,301.69;1,268.79;32.9;2.59%;11.4;-9.47
18/08/2021;1,325.93;1,301.69;24.24;1.86%;14.13;-7.78
19/08/2021;1,329.67;1,325.93;3.74;0.28%;13.24;-7.52
20/08/2021;1,326.91;1,329.67;-2.76;-0.21%;11.85;-7.71
23/08/2021;1,334.48;1,326.91;7.57;0.57%;10.72;-7.19
24/08/2021;1,328.29;1,334.48;-6.19;-0.46%;7.94;-7.62
25/08/2021;1,329.79;1,328.29;1.5;0.11%;8.34;-7.51
26/08/2021;1,313.99;1,329.79;-15.8;-1.19%;7.24;-8.61
27/08/2021;1,325.51;1,313.99;11.52;0.88%;8.09;-7.81
30/08/2021;1,322.57;1,325.51;-2.94;-0.22%;8.76;-8.02
31/08/2021;1,319.96;1,322.57;-2.61;-0.20%;5.11;-8.2
01/09/2021;1,321.27;1,319.96;1.31;0.10%;5.01;-8.11
02/09/2021;1,331.90;1,321.27;10.63;0.80%;6.82;-7.37
03/09/2021;1,327.47;1,331.90;-4.43;-0.33%;7.03;-7.67
06/09/2021;1,327.09;1,327.47;-0.38;-0.03%;6.76;-7.7
07/09/2021;1,320.98;1,327.09;-6.11;-0.46%;7.19;-8.13
08/09/2021;1,320.39;1,320.98;-0.59;-0.04%;6.48;-8.17
09/09/2021;1,322.78;1,320.39;2.39;0.18%;8.45;-8
10/09/2021;1,320.52;1,322.78;-2.26;-0.17%;8.91;-8.16
13/09/2021;1,312.43;1,320.52;-8.09;-0.61%;9.4;-8.72
14/09/2021;1,310.22;1,312.43;-2.21;-0.17%;9.76;-8.87
15/09/2021;1,322.14;1,310.22;11.92;0.91%;10.55;-8.04
16/09/2021;1,323.37;1,322.14;1.23;0.09%;10.97;-7.96
17/09/2021;1,321.85;1,323.37;-1.52;-0.11%;9.55;-8.07
20/09/2021;1,306.62;1,321.85;-15.23;-1.15%;9.1;-9.12
21/09/2021;1,301.46;1,306.62;-5.16;-0.39%;9.57;-9.48
22/09/2021;1,310.25;1,301.46;8.79;0.68%;11.09;-8.87
23/09/2021;1,312.22;1,310.25;1.97;0.15%;11.15;-8.73
24/09/2021;1,309.38;1,312.22;-2.84;-0.22%;11.78;-8.93
27/09/2021;1,345.40;1,309.38;36.02;2.75%;14.34;-6.43
28/09/2021;1,350.53;1,345.40;5.13;0.38%;15.85;-6.07
29/09/2021;1,360.41;1,350.53;9.88;0.73%;16.08;-5.38
30/09/2021;1,361.95;1,360.41;1.54;0.11%;17.17;-5.28
01/10/2021;1,370.25;1,361.95;8.3;0.61%;17.61;-4.7
04/10/2021;1,381.76;1,370.25;11.51;0.84%;18.29;-3.9
05/10/2021;1,383.22;1,381.76;1.46;0.11%;18.33;-3.8
06/10/2021;1,381.86;1,383.22;-1.36;-0.10%;17.65;-3.89
07/10/2021;1,393.50;1,381.86;11.64;0.84%;17.45;-3.08
08/10/2021;1,401.00;1,393.50;7.5;0.54%;17.73;-2.56
11/10/2021;1,406.25;1,401.00;5.25;0.37%;20.11;-2.2
12/10/2021;1,386.45;1,406.25;-19.8;-1.41%;18.42;-3.57
13/10/2021;1,394.22;1,386.45;7.77;0.56%;19.02;-3.03
14/10/2021;1,416.68;1,394.22;22.46;1.61%;21.49;-1.47
15/10/2021;1,426.20;1,416.68;9.52;0.67%;21.71;-0.81
19/10/2021;1,416.49;1,426.20;-9.71;-0.68%;19.29;-1.48
20/10/2021;1,414.10;1,416.49;-2.39;-0.17%;20.05;-1.65
21/10/2021;1,410.20;1,414.10;-3.9;-0.28%;19.72;-1.92
22/10/2021;1,399.64;1,410.20;-10.56;-0.75%;19.08;-2.66
25/10/2021;1,402.04;1,399.64;2.4;0.17%;19.11;-2.49
26/10/2021;1,413.32;1,402.04;11.28;0.80%;21.56;-1.7
27/10/2021;1,404.09;1,413.32;-9.23;-0.65%;25.32;-2.35
28/10/2021;1,407.92;1,404.09;3.83;0.27%;24.45;-2.08
29/10/2021;1,394.04;1,407.92;-13.88;-0.99%;22.63;-3.04
02/11/2021;1,390.50;1,394.04;-3.54;-0.25%;20.76;-3.29
03/11/2021;1,404.52;1,390.50;14.02;1.01%;21.45;-2.32
04/11/2021;1,392.19;1,404.52;-12.33;-0.88%;19.7;-3.17
05/11/2021;1,388.56;1,392.19;-3.63;-0.26%;18.44;-3.43
08/11/2021;1,394.23;1,388.56;5.67;0.41%;14.87;-3.03
09/11/2021;1,384.59;1,394.23;-9.64;-0.69%;14.1;-3.7
10/11/2021;1,365.65;1,384.59;-18.94;-1.37%;11.93;-5.02
11/11/2021;1,365.84;1,365.65;0.19;0.01%;13.14;-5.01
12/11/2021;1,356.48;1,365.84;-9.36;-0.69%;12.11;-5.66
16/11/2021;1,333.47;1,356.48;-23.01;-1.70%;8.34;-7.26
17/11/2021;1,330.57;1,333.47;-2.9;-0.22%;7.77;-7.46
18/11/2021;1,337.52;1,330.57;6.95;0.52%;8.66;-6.98
19/11/2021;1,298.64;1,337.52;-38.88;-2.91%;4.75;-9.68
22/11/2021;1,312.18;1,298.64;13.54;1.04%;5.14;-8.74
23/11/2021;1,316.43;1,312.18;4.25;0.32%;3.6;-8.44
24/11/2021;1,330.18;1,316.43;13.75;1.04%;5.26;-7.49
25/11/2021;1,338.85;1,330.18;8.67;0.65%;6;-6.88
26/11/2021;1,318.31;1,338.85;-20.54;-1.53%;4.48;-8.31
29/11/2021;1,347.45;1,318.31;29.14;2.21%;7.11;-6.28
30/11/2021;1,373.84;1,347.45;26.39;1.96%;6.9;-4.45
01/12/2021;1,418.24;1,373.84;44.4;3.23%;10.06;-1.36
02/12/2021;1,440.89;1,418.24;22.65;1.60%;10.99;0.2
03/12/2021;1,431.94;1,440.89;-8.95;-0.62%;6.76;-0.41
06/12/2021;1,430.66;1,431.94;-1.28;-0.09%;4.9;-0.5
07/12/2021;1,409.94;1,430.66;-20.72;-1.45%;1.9;-1.94
09/12/2021;1,399.15;1,409.94;-10.79;-0.77%;2.24;-2.69
